rank,title,singer,lastweek,peak,weeksonchart
1,Drivers License,Olivia Rodrigo,1,1,2
2,34+35,Ariana Grande,11,2,12
3,Mood,24kGoldn Featuring iann dior,2,1,24
4,Blinding Lights,The Weeknd,4,1,59
5,Positions,Ariana Grande,3,1,13
6,Levitating,Dua Lipa Featuring DaBaby,6,6,16
7,Go Crazy,Chris Brown & Young Thug,5,5,37
8,Holy,Justin Bieber Featuring Chance The Rapper,7,3,18
9,Bang!,AJR,8,8,29
10,Good Days,SZA,10,10,4
11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,15,6,29
12,I Hope,Gabby Barrett Featuring Charlie Puth,14,3,56
13,Therefore I Am,Billie Eilish,17,2,11
14,Lonely,Justin Bieber & benny blanco,12,12,14
15,Better Together,Luke Combs,24,15,16
16,Body,Megan Thee Stallion,20,12,9
17,Laugh Now Cry Later,Drake Featuring Lil Durk,13,2,23
18,Dakiti,Bad Bunny & Jhay Cortez,23,5,12
19,Whoopty,CJ,25,19,11
20,Save Your Tears,The Weeknd,21,20,6
21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,19,6,23
22,Bad Boy,Juice WRLD & Young Thug,-1,22,1
23,What You Know Bout Love,Pop Smoke,27,20,20
24,Wasted On You,Morgan Wallen,9,9,2
25,7 Summers,Morgan Wallen,18,6,22
26,Anyone,Justin Bieber,22,6,3
27,More Than My Hometown,Morgan Wallen,16,15,30
28,Willow,Taylor Swift,29,1,6
29,Kings & Queens,Ava Max,28,13,24
30,Before You Go,Lewis Capaldi,31,9,48
31,You Broke Me First.,Tate McRae,33,31,22
32,You're Mines Still,Yung Bleu Featuring Drake,54,32,7
33,On Me,Lil Baby,37,30,7
34,My Ex's Best Friend,Machine Gun Kelly X blackbear,40,28,23
35,Starting Over,Chris Stapleton,38,25,21
36,Somebody's Problem,Morgan Wallen,26,25,6
37,Rockstar,DaBaby Featuring Roddy Ricch,34,1,39
38,I Should Probably Go To Bed,Dan + Shay,30,28,24
39,Streets,Doja Cat,91,39,2
40,Sand In My Boots,Morgan Wallen,32,32,2
41,Afterglow,Ed Sheeran,36,29,5
42,Good Time,Niko Moon,44,42,16
43,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",41,2,49
44,Hole In The Bottle,Kelsea Ballerini,49,44,14
45,Dynamite,BTS,35,1,22
46,Back In Blood,Pooh Shiesty Featuring Lil Durk,78,46,3
47,Diamonds,Sam Smith,47,39,18
48,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,43,1,30
49,Best Friend,Saweetie Featuring Doja Cat,39,39,2
50,WAP,Cardi B Featuring Megan Thee Stallion,48,1,24
51,Cry Baby,Megan Thee Stallion Featuring DaBaby,51,44,7
52,Without You,The Kid LAROI,57,52,7
53,Damage,H.E.R.,64,53,6
54,Throat Baby (Go Baby),BRS Kash,69,54,14
55,Masterpiece,DaBaby,-1,55,1
56,Love You Like I Used To,Russell Dickerson,60,31,20
57,Happy Does,Kenny Chesney,70,57,10
58,Back To The Streets,Saweetie Featuring Jhene Aiko,68,58,9
59,Holiday,Lil Nas X,58,37,10
60,What's Your Country Song,Thomas Rhett,76,60,5
61,Put Your Records On,Ritt Momney,75,61,14
62,Champagne Night,Lady A,53,33,13
63,Still Trappin',Lil Durk & King Von,61,53,4
64,Beers And Sunshine,Darius Rucker,77,64,6
65,Forever After All,Luke Combs,67,2,13
66,Still Goin Down,Morgan Wallen,45,45,5
67,Monster,Shawn Mendes & Justin Bieber,55,8,9
68,"Big, Big Plans",Chris Lane,59,42,16
69,Tyler Herro,Jack Harlow,71,34,13
70,Down To One,Luke Bryan,82,70,4
71,Cover Me Up,Morgan Wallen,52,52,3
72,Warning,Morgan Wallen,42,42,2
73,Just The Way,Parmalee x Blanco Brown,87,73,4
74,865,Morgan Wallen,46,46,2
75,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,65,10,16
76,Undivided,Tim McGraw & Tyler Hubbard,-1,76,1
77,Monsters,All Time Low Featuring Demi Lovato & blackbear ,81,70,4
78,Take You Dancing,Jason Derulo,72,57,7
79,Prisoner,Miley Cyrus Featuring Dua Lipa,73,54,9
80,Long Live,Florida Georgia Line,79,79,3
81,The Good Ones,Gabby Barrett,89,77,4
82,Golden,Harry Styles,85,65,13
83,Buss It,Erica Banks,100,83,2
84,Beat Box,SpotemGottem,-1,84,1
85,Goosebumps,Travis Scott & HVME,-1,85,1
86,Hit Different,SZA Featuring Ty Dolla $ign,80,29,19
87,So Done,The Kid LAROI,94,59,11
88,Bichota,Karol G,88,73,8
89,Moonwalking In Calabasas,DDG,99,82,4
90,Adderall (Corvette Corvette),Popp Hunna,96,74,5
91,Girl Like Me,Black Eyed Peas X Shakira,-1,87,2
92,De Una Vez,Selena Gomez,-1,92,1
93,Momma's House,Dustin Lynch,-1,88,2
94,Better Days,Ant Clemons Featuring Justin Timberlake,-1,94,1
95,Lady,Brett Young,-1,95,2
96,Drankin N Smokin,Future & Lil Uzi Vert,-1,31,3
97,Somebody Like That,Tenille Arts,-1,97,1
98,One Too Many,Keith Urban Duet With P!nk,-1,62,6
99,Hell Of A View,Eric Church,-1,94,2
100,Dangerous,Morgan Wallen,62,62,2
