ThisWeek,Note,LastWeek,Peak,WeeksOnChart,Title,Artist
1,,1,1,7,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
2,NEW,-,2,1,Do We Have A Problem?,Nicki Minaj X Lil Baby
3,,2,1,18,Easy On Me,Adele
4,,3,3,56,Heat Waves,Glass Animals
5,,4,1,31,Stay,The Kid LAROI & Justin Bieber
6,,5,5,14,Super Gremlin,Kodak Black
7,,6,6,12,abcdefu,GAYLE
8,,7,4,22,Shivers,Ed Sheeran
9,,12,9,20,Ghost,Justin Bieber
10,,8,8,7,Surface Pressure,Jessica Darrow
11,,9,7,5,Pushin P,Gunna & Future Featuring Young Thug
12,,15,10,21,Thats What I Want,Lil Nas X
13,,10,8,35,Need To Know,Doja Cat
14,,11,7,23,Cold Heart (PNAU Remix),Elton John & Dua Lipa
15,,13,2,33,Bad Habits,Ed Sheeran
16,,14,1,29,Industry Baby,Lil Nas X & Jack Harlow
17,,17,2,66,Levitating,Dua Lipa
18,,19,1,58,Save Your Tears,The Weeknd & Ariana Grande
19,,18,16,7,Hrs And Hrs,Muni Long
20,,20,20,6,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
21,,22,6,14,One Right Now,Post Malone & The Weeknd
22,,16,5,14,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
23,,21,5,12,Oh My God,Adele
24,,26,7,10,I Hate U,SZA
25,,23,1,39,Good 4 U,Olivia Rodrigo
26,,30,26,21,Love Nwantiti (Ah Ah Ah),CKay
27,,27,4,23,Knife Talk,Drake Featuring 21 Savage & Project Pat
28,,34,28,16,Big Energy,Latto
29,,37,29,28,Woman,Doja Cat
30,,28,28,32,You Should Probably Leave,Chris Stapleton
31,,43,31,12,Enemy,Imagine Dragons X JID
32,,25,23,17,Better Days,NEIKED X Mae Muller X Polo G
33,,31,27,6,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
34,,32,19,6,Fingers Crossed,Lauren Spencer-Smith
35,,24,22,27,Buy Dirt,Jordan Davis Featuring Luke Bryan
36,,29,3,34,Fancy Like,Walker Hayes
37,,36,11,32,You Right,Doja Cat & The Weeknd
38,,39,32,30,Sand In My Boots,Morgan Wallen
39,,41,21,22,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
40,NEW,-,40,1,Don't Play That,King Von & 21 Savage
41,,38,36,6,Dos Oruguitas,Sebastian Yatra
42,,33,9,31,Essence,Wizkid Featuring Justin Bieber & Tems
43,NEW,-,43,1,Cigarettes,Juice WRLD
44,,35,3,43,Kiss Me More,Doja Cat Featuring SZA
45,,46,45,18,Freedom Was A Highway,Jimmie Allen & Brad Paisley
46,,40,11,5,Sacrifice,The Weeknd
47,,45,45,18,'Til You Can't,Cody Johnson
48,,48,48,11,To Be Loved By You,Parker McCollum
49,,49,42,3,Light Switch,Charlie Puth
50,,44,30,26,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
51,,47,40,20,One Mississippi,Kane Brown
52,NEW,-,52,1,She's All I Wanna Be,Tate McRae
53,,50,48,6,Waiting On A Miracle,Stephanie Beatriz
54,,55,53,13,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
55,,52,24,4,P Power,Gunna Featuring Drake
56,,60,56,12,Heart On Fire,Eric Church
57,,63,57,7,Beers On Me,"Dierks Bentley, Breland & HARDY"
58,,53,53,7,23,Sam Hunt
59,,56,55,5,AA,Walker Hayes
60,,54,14,8,Broadway Girls,Lil Durk Featuring Morgan Wallen
61,,58,51,20,Chosen,Blxst & Tyga Featuring Ty Dolla $ign
62,,66,53,9,Doin' This,Luke Combs
63,,51,51,2,Rumors,Gucci Mane Featuring Lil Durk
64,,59,17,18,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
65,,65,61,19,For Tonight,Giveon
66,,67,66,7,Pressure,Ari Lennox
67,,69,67,4,Never Say Never,Cole Swindell / Lainey Wilson
68,,61,45,13,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
69,,78,69,5,Me Or Sum,"Nardo Wick, Lil Baby & Future"
70,,70,65,8,Do It To It,Acraze Featuring Cherish
71,,74,71,4,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"
72,,68,66,12,Scorpio,Moneybagg Yo
73,NEW,-,73,1,Scared Money,YG Featuring J. Cole & Moneybagg Yo
74,,64,37,19,Whiskey And Rain,Michael Ray
75,,71,71,4,I Love You So,The Walters
76,,62,38,4,Cold December,Rod Wave
77,NEW,-,77,1,Emo Girl,Machine Gun Kelly & WILLOW
78,NEW,-,78,1,Black Summer,Red Hot Chili Peppers
79,,73,58,11,By Your Side,Rod Wave
80,,79,79,2,Peru,Fireboy DML & Ed Sheeran
81,,80,80,3,Beautiful Lies,Yung Bleu & Kehlani
82,,57,57,2,High,The Chainsmokers
83,,77,63,5,Circles Around This Town,Maren Morris
84,,75,1,13,All Too Well (Taylor's Version),Taylor Swift
85,,82,82,2,If I Was A Cowboy,Miranda Lambert
86,,81,68,15,Get Into It (Yuh),Doja Cat
87,NEW,-,87,1,Doja,$NOT & A$AP Rocky
88,NEW,-,88,1,Hate Our Love,Queen Naija & Big Sean
89,,85,85,4,Come Back As A Country Boy,Blake Shelton
90,,92,90,5,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
91,,91,91,2,Numb Little Bug,Em Beihold
92,,76,16,15,Too Easy,Gunna & Future
93,,95,93,2,The Motto,Tiesto & Ava Max
94,,88,88,4,Home Sweet,Russell Dickerson
95,,93,68,3,Flower Shops,ERNEST Featuring Morgan Wallen
96,,87,71,4,Iffy,Chris Brown
97,NEW,-,97,1,When I'm Gone,Alesso / Katy Perry
98,,90,3,17,Fair Trade,Drake Featuring Travis Scott
99,,97,97,2,Megan's Piano,Megan Thee Stallion
100,RE-ENTRY,-,27,8,Moth To A Flame,Swedish House Mafia & The Weeknd
