,rank,title,singer,lastweek,peak,weeksonchart
0,1,Stay,The Kid LAROI & Justin Bieber,2,1,13
1,2,Industry Baby,Lil Nas X & Jack Harlow,3,2,11
2,3,Fancy Like,Walker Hayes,5,3,16
3,4,Way 2 Sexy,Drake Featuring Future & Young Thug,4,1,5
4,5,Bad Habits,Ed Sheeran,6,2,15
5,6,Good 4 U,Olivia Rodrigo,7,1,21
6,7,Kiss Me More,Doja Cat Featuring SZA,8,3,26
7,8,Levitating,Dua Lipa,10,2,53
8,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,9,4,5
9,10,Essence,Wizkid Featuring Justin Bieber & Tems,11,10,14
10,11,Shivers,Ed Sheeran,14,11,4
11,12,My Universe,Coldplay x BTS,1,1,2
12,13,Need To Know,Doja Cat,16,13,17
13,14,Save Your Tears,The Weeknd & Ariana Grande,12,1,43
14,15,Heat Waves,Glass Animals,15,15,38
15,16,Beggin',Maneskin,19,16,15
16,17,Montero (Call Me By Your Name),Lil Nas X,13,1,28
17,18,You Right,Doja Cat & The Weeknd,18,11,15
18,19,If I Didn't Love You,Jason Aldean & Carrie Underwood,21,15,11
19,20,Girls Want Girls,Drake Featuring Lil Baby,17,2,5
20,21,Traitor,Olivia Rodrigo,25,9,20
21,22,Take My Breath,The Weeknd,22,6,9
22,23,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,71,22,6
23,24,Chasing After You,Ryan Hurd With Maren Morris,27,24,23
24,25,Pepas,Farruko,29,25,11
25,26,Thats What I Want,Lil Nas X,24,10,3
26,27,Wockesha,Moneybagg Yo,20,20,24
27,28,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,26,14
28,29,Happier Than Ever,Billie Eilish,31,11,10
29,30,Fair Trade,Drake Featuring Travis Scott,23,3,5
30,31,Deja Vu,Olivia Rodrigo,30,3,27
31,32,Cold Heart (PNAU Remix),Elton John & Dua Lipa,46,32,5
32,33,Memory I Don't Mess With,Lee Brice,43,33,11
33,34,A-O-K,Tai Verdes,35,34,14
34,35,Love Nwantiti (Ah Ah Ah),CKay,50,35,3
35,36,Intro (Hate On Me),Meek Mill,-,36,1
36,37,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),33,1,31
37,38,Gyalis,Capella Grey,64,38,10
38,39,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,41,1,29
39,40,Leave Before You Love Me,Marshmello X Jonas Brothers,39,19,20
40,41,Love Again,Dua Lipa,57,41,12
41,42,My Boy,Elvie Shane,66,42,15
42,43,Buy Dirt,Jordan Davis Featuring Luke Bryan,55,43,9
43,44,Hurricane,Kanye West,34,6,6
44,45,I Was On A Boat That Day,Old Dominion,49,45,14
45,46,Family Ties,Baby Keem & Kendrick Lamar,42,18,6
46,47,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,47,44,4
47,48,Wild Side,Normani Featuring Cardi B,51,14,12
48,49,Late At Night,Roddy Ricch,44,20,18
49,50,Have Mercy,Chloe,56,28,4
50,51,You Should Probably Leave,Chris Stapleton,81,51,14
51,52,Whole Lotta Money,BIA Featuring Nicki Minaj,52,16,13
52,53,Cold As You,Luke Combs,65,53,10
53,54,You Time,Scotty McCreery,63,50,10
54,55,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,68,53,24
55,56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",77,56,10
56,57,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,76,57,8
57,58,Butter,BTS,36,1,20
58,59,Too Easy,Gunna & Future,38,38,2
