album_title,album_url,category,album_track_number,song_title,song_url,song_artists,song_release_date,song_page_views,song_lyrics,song_writers,song_producers,song_tags
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,1,Text Book,https://genius.com/Lana-del-rey-text-book-lyrics,['Lana Del Rey'],2021-05-20,332900,"I guess you could call it textbook I was lookin' for the father I wanted back And I thought I found it in Brentwood It seemed only appropriate you'd easily have my back And then there was the issue of her I didn't even like myself, or love the life I had And there you were with shining stars Standin' blue with open arms You touched the detriment most of the friends I knew already had You've got a Thunderbird, my daddy had one, too Let's rewrite history, I'll do this dance with you You know I'm not that girl, you know I'll never be Maybe just the way we're different could set me free And there we were, screamin' ""Black Lives Matter"" in the crowd By the Old Man River, and I saw you saw who I am God, I wish I was with my father He could see us in all our splendor All the things I couldn't want for him I screamed for them, oh-oh-oh I screamed for them, ah-ah Could we do this dance again? Do you think if I go blonde, we could get our old love back? I guess this is really the end I never felt jealous before this year, but I'm jealous now People say we're too much alike But maybe, finally, that'll make it right At the end of all these sleepless nights Other men I met felt right Would smile at you and stick a knife In your back Finally, I met you so I'm not wonderin' why You've got a Thunderbird, my daddy had one, too Let's rewrite history, I'll do this dance with you You know I'm not that girl, you know I'll never be Maybe just the way we're different could set me free There we were, screamin' ""Black Lives Matter"" in the crowd By the Old Man River, and I saw you saw who I am God, I wish I was with my father He could see us in all our splendor All the things I couldn't want for him I screamed for them, oh-oh-oh I screamed for them, ah-ah Old Man River keeps rollin' With or without him Old Man River keeps rollin' Without him, oh, my old man Old Man River keeps rollin', oh","['Lana Del Rey', 'Gabe Simon']","['Lana Del Rey', 'Gabe Simon', 'Zach Dawes']","['Pop', 'Chamber Music', 'Singer-Songwriter', 'Alternative Pop', 'Alternative', 'Chamber Pop', 'Psychedelic', 'Art Pop', 'Soft Rock']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,2,Blue Banisters,https://genius.com/Lana-del-rey-blue-banisters-lyrics,['Lana Del Rey'],2021-05-20,312200,"There's a picture on the wall Of me on a John Deere Jenny handed me a beer Said, ""How the hell did you get there?"" Oh, Oklahoma Mm-mm, mm There were flowers that were dry Sittin' on the dresser She asked me where they're from I said, ""A place I don't remember"" Oh, Oklahoma (Oh-oh) Jenny jumped into the pool She was swimmin' with Nikki Lane She said, ""Most men don't want a woman With a legacy, it's our bane"" She said ""You can't be a muse and be happy too You can't blacken the pages with Russian poetry And be happy"" And that scared me 'Cause I met a man who Said he'd come back every May Just to help me if I'd paint my banisters blue Blue banisters, ooh Said he'd fix my weathervane Give me children, take away my pain And paint my banisters blue My banisters blue There's a hole that's in my heart All my women try and heal They're doin' a good job Convincin' me that it's not real It's heat lightning, oh-oh-oh, oh 'Cause there's a man that's in my past There's a man that's still right here He's real enough to touch And in my darkest nights, he's shinin' Ooh-ooh-ooh Jenny was smokin' by the pool We were writin' with Nikki Lane I said I'm scared of the Santa Clarita Fires I wish that it would rain I said the power of us three can bring absolutely anything Except that one thing The diamonds, the rust, and the rain The thing that washes away the pain But that's okay, 'cause Now when weather turns to May All my sisters come to paint my banisters green My blue  banisters  gray Tex and Mex are in the Bay Chucky's makin' birthday cake Chickens runnin' bare feet, there's a baby on the way And now my blue banisters are green and gray, ah-ah Summer comes, winter goes Spring, I skip, God knows Summer comes, winter goes Spring, I sleep, Heaven knows Every time it turns to May All my sisters fly to me To paint, paint","['Lana Del Rey', 'Gabe Simon']","['Lana Del Rey', 'Gabe Simon']","['Pop', 'Chamber Music', 'Singer-Songwriter', 'Folk Pop', 'American Folk', 'Alternative Pop', 'Alternative', 'Ambient', 'Ballad', 'Piano']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,3,Arcadia,https://genius.com/Lana-del-rey-arcadia-lyrics,['Lana Del Rey'],2021-09-08,257600,"My body is a map of LA I stand straight like an angel with a halo Hangin' out the Hilton Hotel window Screamin', ""Hey, you, baby, let's go"" My chest, the Sierra Madre My hips, every high and byway That you trace with your fingertips like a Toyota Run your hands over me like a Land Rover In Arcadia, Arcadia All roads that lead to you as integral to me as arteries That pump the blood that flows straight to the heart of me America, America I can't sleep at home tonight, send me a Hilton Hotel Or a cross on the hill, I'm a lost little girl Findin' my way to you, Arcadia My body is a map of LA And my heart is like paper, I hate you I'm not from the land of the palms, so I know I can't stay here I'm not native, but My curves, San Gabriel all day And my lips like the fire licks the bay If you think that you know yourself, you can come over Lay your hands on me like you're a Land Rover In Arcadia, Arcadia All roads that lead to you as integral to me as arteries That get the blood flowing straight to the heart of me America, I need a miracle I can't sleep at home tonight, send me a Hilton Hotel Or a cross on the hill, I'm a lost little girl Findin' my way to you, Arcadia They built me up three-hundred feet tall just to tear me down So I'm leavin' with nothing but laughter and this town Arcadia Findin' my way to you I'm leavin' them as I was, five-foot-eight, Western belt Plus the hate that they gave By the way, thanks for that, on the way, I'll pray for you But you'll need a miracle, America","['Lana Del Rey', 'Drew Erickson']","['Lana Del Rey', 'Drew Erickson']","['Pop', 'Adult Alternative', 'Chamber Music', 'Alternative Pop', 'Alternative', 'Ambient', 'Ballad', 'Piano', 'Baroque Pop']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,4,Interlude - The Trio,https://genius.com/Lana-del-rey-interlude-the-trio-lyrics,['Lana Del Rey'],2021-10-22,49200,,['Ennio Morricone'],['Lana Del Rey'],"['Pop', 'Experimental', 'Instrumental', 'Cinematic', 'Hip-Hop', 'Trap', 'Interlude']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,5,Black Bathing Suit,https://genius.com/Lana-del-rey-black-bathing-suit-lyrics,['Lana Del Rey'],2021-10-22,205000,"Grenadine quarantine, I like you a lot It's L.A., ""Hey"" on Zoom, Target parking lot And if this is the end, I want a boyfriend Someone to eat ice cream with and watch television Or walk home from the mall with 'Cause what I really meant is when I'm being honest I'm tired of this shit 'Cause my body is my temple, my heart is one too The only thing that still fits me is this black bathing suit You don't know me any better than they do, baby My time is run over, so the only time you'll ever see me Is in your dreams, in my black bathing suit Lookin' at me lookin' over at you real cute 'cause He said I was bad, let me show you how bad girls do 'Cause no one does it better He said I was bad, let me show you how bad girls do 'Cause no one does it better Swisher Sweet, magazines, promise you it's not 'Cause of you that I'm mean, it's my afterthoughts And what I never said, why there's a price on my head It's nothing to do with them, it's my karmic lineage So I'm not friends with my mother, but I still love my dad Untraditional lover, can you handle that? I guess I'm complicated, my life's sorta too I wish you could see to my soul through this black bathing suit You don't know me any better than they do, baby 'Cause I sing like an angel, my heart's like one too The only thing that fits is this black bathing suit Lookin' at me lookin' over at you real cute 'cause He said I was bad, let me show you how bad girls do 'Cause no one does it better He said I was bad, let me show you how bad girls do 'Cause no one does it better They said I was bad and I'll show them what bad girls do My black bathing suit (Oh, let 'em talk about me) They're just yesterday's news (They're fucking broke and we're laughin' about them) Mail me when you get the blues (We'll have the last laugh about it) By the way, thanks for the shoes Your interest really made stacks Your interest really made stacks Your interest really made stacks out of it Your interest really made stacks out of it for me (So thanks for that) Your interest really made stacks out of it for me (So thanks for that) Your interest really made stacks out of it for me So thanks for that","['Lana Del Rey', 'Drew Erickson', 'Zach Dawes']","['Lana Del Rey', 'Zach Dawes', 'Dean Reid']","['Pop', 'Singer-Songwriter', 'Alternative Pop', 'Alternative', 'Psychedelic', 'Neo-Psychedelia', 'Art Pop']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,6,If You Lie Down With Me,https://genius.com/Lana-del-rey-if-you-lie-down-with-me-lyrics,['Lana Del Rey'],2021-10-22,146300,"Put your red boots on, baby, giddy up Baby wants to dance, baby gets her way Treat me nice, talk to me with that whiskey breath Twirl me twice, I'll treat you like a holiday And don't say you're over me When we both know that you ain't Don't say you're over me Babe, it's already too late Just do what you do best with me Dance me all around the room Spin me like a ballerina, super high Dance me all around the moon Light me up like the Fourth of July Once, twice, three times the guy I Ever thought I would meet, so Don't say you're over me When we both know that you lie If you lie down, lie next to me Lie, lie, lie, lie, lie, lie, lie, lie, lie If you lie down, lie next to me Lie, lie, lie, lie, lie, lie, lie, lie, lie When you lie down, lie next to me Get your jacket on, be a gentleman Get into your truck and pick me up at eight 'Cause we were built for the long-haul freight train Burnt by fire without trial like a stowaway And don't say you're over me When they all know that you ain't If you lay down, lie next to me Dance me all around the room Spin me like a ballerina, super high Dance me all around the moon Like, six times 'til I'm sick and I cry Once, twice, three times the guy I Ever thought I would meet, so Don't say you're over me When they all know that you're lying If you lie down, lie next to me Lie, lie, lie, lie, lie, lie, lie, lie, lie You lie, you lie If you lie down, lie next to me Lie, lie, lie, lie, lie, lie, lie, lie, lie You lie, you lie When you lie down, lie next to me ","['Lana Del Rey', 'Barrie-James O’Neill', 'Drew Erickson']","['Lana Del Rey', 'Drew Erickson']","['Pop', 'Americana', 'Folk Pop', 'Chamber Music', 'Singer-Songwriter', 'Alternative Pop', 'Alternative', 'Brass Band', 'Soft Rock']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,7,Beautiful,https://genius.com/Lana-del-rey-beautiful-lyrics,['Lana Del Rey'],2021-10-22,149000,"Let's keep it simple, babe Don't make it complicated Don't tell me to be glad when I'm sad I really hate that I try not to be bad Eccentricity's holding me back If I could be more like you, I would But I can't and I'm glad about that What if someone had asked Picasso not to be sad? Never known who he was or the man he'd become There would be no blue period Let me run with the wolves, let me do what I do Let me show you how sadness can turn into happiness I can turn blue into something Beautiful, beautiful Beautiful like you Beautiful, beautiful Beautiful like you Let's keep it simple, babe We can't afford to change it Don't turn me into something I'm not There's no way to sustain it I try not to hold back It seems, either way, it makes you mad So I'll be who I'll be, if you think that that's cool Then I'll take you back What if someone had asked Picasso not to be sad? Never known who he was or the man he'd become There would be no blue period Let me run with the wolves, let me do what I do Let me show you how sadness can turn into happiness I can turn blue into something Beautiful, beautiful Beautiful like you Beautiful, beautiful Beautiful like you Beautiful, beautiful Beautiful like you Beautiful, beautiful Beautiful like you","['Lana Del Rey', 'Drew Erickson']","['Lana Del Rey', 'Drew Erickson']","['Pop', 'Lullaby', 'Folk Pop', 'Chamber Music', 'Singer-Songwriter', 'Alternative Pop', 'Alternative', 'Ballad', 'Piano']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,8,Violets for Roses,https://genius.com/Lana-del-rey-violets-for-roses-lyrics,['Lana Del Rey'],2021-10-22,160800,"There's something in the air The girls are runnin' 'round in summer dresses With their masks off and it makes me so happy Larchmont Village smells like lilies of the valley And the bookstore doors are opening And it's finally happening Ever since I fell out of love with you, I fell back in love with me And, boy, does it feel sweet Like a summer breeze Ever since I fell out of love with you, I fell back in love with the city Like thе Paramount sign sparkling Sparkling just for me You made me tradе my violets for roses You tried to trade in my new truck for Rollses Don't forget all of these things that you love are the same things I hate A simple life, I chose this You made me trade my violets for roses You tried to take all the pink off my toes, and God knows the only mistake that a man can make Is tryna make a woman change and trade her violets for roses Ah-la-ha, ah-ha Trade her violets for roses Ah-la-ha, ah-ha There's something in the air I hope it doesn't change, that it's for real The beginning of something big happening And by the mayor,  the rallies In the streets have ceased And still, the shadows haunt the avenue The silence is deafening Ever since I fell out of love with you, I fell back in love with the streets And, God, does it feel sweet Like a summer breeze Ever since I fell out of love with you, I breakdance to the backbeat And, God, does it sound sweet Like it's playing just for me You made me trade my violets for roses You tried to trade in my new truck for Rollses Don't forget all of these things that you love are the same things I hate A simple life, I chose this You made me trade my violets for roses You tried to take all the pink off my toes, and God knows the only mistake that a man can make Is tryin' to make a woman change and trade her violets for roses Ah-la-ha, ah-ha Trade her violets for roses Ah-la-ha, ah-ha Trade her violets for roses (Ah-la-ha, ah-ha) There's something in the air The girls are runnin' 'round in summer dresses With their masks off and it makes me so happy","['Lana Del Rey', 'Drew Erickson']","['Lana Del Rey', 'Drew Erickson']","['Pop', 'Chamber Music', 'Singer-Songwriter', 'Alternative Pop', 'Alternative', 'Baroque Pop']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,9,Dealer (Ft. Miles Kane),https://genius.com/Lana-del-rey-dealer-lyrics,"['Lana Del Rey', 'Miles Kane']",2021-10-22,393600,"Please don't try to find me through my dealer He won't pick up his phone Please don't try my father either He ain't been home for years I know I'm no spirit-seeker I can't sleep through the tears I get lost in the ether I check in, I wreck it, I turn it around I gave you all my money, gave you all my money Gave you all my money, gave you all my money I don't wanna live I don't wanna give you nothing 'Cause you never give me nothing back Why can't you be good for something? Not one shirt off your back Why can't you be good for something? Not one shirt off your back Please don't try to find me through my dealer He won't pick up his phone Please don't try my doctor either He won't take any calls He's no fucking spirit healer He just comes door to door But he's gone now for the weekend I check in, I wreck it, and I'll explain I gave you all my money, gave you all my money Gave you all my money, gave you all my money I don't wanna live I don't wanna give you nothing 'Cause you never give me nothing back Why can't you be good for something? Not one shirt off your back Why can't you be good for something? Not one shirt off your back 555 Please don't try to find me through my dealer (9275 , 555) He won't pick up his phone (Now you've got a busy tone) A ll circuits are busy, goodbye All circuits are busy, you're high Please don't try my father either (All circuits are busy, goodbye) He ain't been home for years (All circuits are busy, you're high)","['Lana Del Rey', 'Loren Humphrey', 'Miles Kane', 'Tyler Parkford', 'Zach Dawes']","['Lana Del Rey', 'Loren Humphrey', 'Zach Dawes']","['Rock', 'Alternative Pop', 'Alternative', 'Garage Rock', 'Trip-Hop', 'Psychedelic', 'Alternative Rock', 'Psychedelic Rock']"
Blue Banisters,https://genius.com/albums/Lana-Del-Rey/Blue-Banisters,Blue Banisters,10,Thunder,https://genius.com/Lana-del-rey-thunder-lyrics,['Lana Del Rey'],2021-10-22,209100,"You roll like thunder when you come crashin' in Town ain't been the same since you left with all your friends You roll like thunder when you come crashing in Regattas in the wind, that's why you're visiting You act like fucking Mr. Brightside when you're with all your friends But I know what you're like when the party ends Just do it Just do it, don't wait Just do it Just do it, don't wait You roll like thunder, pourin' all your drinks The party's lit  and you, my friend, half-cut when it begins You roll like thunder, you're tryna catch that wind That lightning in the bottle, that moonbeam in your hand And you try to see the bright side when each new day begins But you're not satisfied at the rainbow's end Just do it Just do it, don't wait I don't wanna wait Just do it Just do it, don't wait 'Cause if you're on fire, you're on fire (Just do it) Just keep burnin', 'til rain (Just do it, don't wait) Baby, keep me ablaze Honey, if you're on fire, you're on fire (Just do it) Just keep burning, keep me alive  (Just do it, don't wait) Spare your blade Just do it Just do it, don't wait If hello just means goodbye then, honey, better walk away Just do it Just do it, don't wait If hello just means goodbye then, baby, better walk away Just do it Just do it, don't wait 'Cause I don't wanna wait Just do it Just do it, don't wait (Just do it) (Just do it, don't wait) If you're on fire, you're on fire You should just keep burning (Just do it) (Just do it, don't wait) (Just do it) (Just do it, don't wait)","['Lana Del Rey', 'Zach Dawes']","['Lana Del Rey', 'Zach Dawes']","['Pop', 'Baroque Pop', 'Chamber Music', 'Singer-Songwriter', 'Alternative Pop', 'Alternative', 'Chamber Pop', 'Soft Rock']"
